raiz,Comentarios,Topic,Topic_c,Clasificacion-gpt-4
1.0,"Ya salen los religiosos a decir que solo deben tener sexo con 1 persona en toda la vida hasta morir, y que el papiloma es un castigo de dios para los pecadores :v",Comentario no relacionado a la vacuna,3,0
2.0,Prevencion Importante control medico,Chequeos periódicos como prevención,3,2
4.0,Prevención primaria ! 😍,Aprobación de la publicación,3,1
11.0,"Todo lo que es prevención,es excelente",Aprobación de la publicación,3,0
12.0,Y para los niños cuando,vacuna para varones,3,2
15.0,"💥 Si necesitas una buena respuesta a tus consultas y consejos para una buena alimentación 🥗🍒🍶🥑✅ Únete a ésta gran comunidad 😉https://chat.whatsapp.com/FsUpBpMQRnZCUc81RK5vuc💥 Te ayudamos a recibir información de Nutrición, Metabolismo y Salud 🏋🧘🏻‍♀🚴🏼",Comentario no relacionado a la vacuna,3,3
17.0,Sólo para niñas es la vacuna ?,vacuna para varones,3,2
22.0,... no es decisión de ellas. Es de los padres.,Decisión de los padres al vacunar,3,2
24.0,Buen día a mi hija la vacune pero no recuerdo si le puse las dos dosis como puedo averiguar. Por favor gracias,Dudas sobre la cantidad de dosis puestas a su niña,2,2
,no tiene carnet de vacuna?,Comentario no relacionado a la vacuna,3,1
,lo he buscado y no lo encuentro por eso creo que ellos deben de tener algún registro,Comentario no relacionado a la vacuna,3,1
,Que mamá tan responsable...,Comentario no relacionado a la vacuna,3,1
,"no lo que pasa que mi niña es una niña inclusiva y tengo todas sus terapias, citas, etc.... Y esa de verdad no la recuerdo.... Creo que me la pidió",Comentario no relacionado a la vacuna,3,1
,Te excusas y quedas peor. Bueno... Es tu hija y tu sabes como la cuidas.,Comentario no relacionado a la vacuna,3,1
,Si tú niña se vacunó en colegio; pregunta  que centro de salud o puesto la vacuno. Ellos en su sistema lo verán 🤗.,Respuestas a dudas relacionada a la vacuna,3,2
,acérquese al Centro de salud cercano a su domicilio servicio de vacunas saque su cita a cualquier hora y asista puntualmente el día y hora si es posible 30 minutos antes,Respuestas a dudas relacionada a la vacuna,3,2
25.0,Que tan seguro es???,Dudas refente a efectos adversos graves,2,0
26.0,Deberian ir a los colegios y vacunarlas,Recomendaciones al MINSA,3,1
,A mí segunda hija la vacunaron en el colegio pero no todas las mamás autorizan para su vacunación,Comentario no relacionado a la vacuna,3,3
,sips es cierto igual deberian ir y vacunar en el cole,Recomendaciones al MINSA,3,3
,buen dato cuñis para El otro año Luana cumple 9,Aprobación de la publicación,3,1
29.0,Listo dv comenta perfil o c ok,Comentario no relacionado a la vacuna,3,1
31.0,Se puede poner a señorita de 18 años,Dudas referente a la edad,2,2
,creo que si. Estoy casi segura. Solo que dicen desde los 9 años ya que a partir de los 12 o 13 empiezan a alborotarse mas hormonas en algunos pubers y si no tienen padres responsables...  Fatal. Pero si se puede creo,Respuestas a dudas relacionada a la vacuna,3,2
,"Si se puede, pero ya no es gratis en esa edad, se tiene que ir al centro de salud y pagar por la vacuna.",Respuestas a dudas relacionada a la vacuna,3,0
,"Así es, se puede pero te cuesta aprox 500 soles",Respuestas a dudas relacionada a la vacuna,3,1
,yo recién cumplidos 13 años  7u7,Aprobación de la publicación,3,0
,13 al revezz :'v,Comentario no relacionado a la vacuna,3,3
36.0,"Así es si ahora, hay una medicina para niñas es y realidad",Aprobación de la publicación,3,0
,es mortal en algunos casos 380 en EEUU Y 35 en España a Parte de otros casos de parálisis cerebral,Rechazo a la vacuna,0,2
,ya tiene la primera,Aprobación de la publicación,3,1
,La segunda le toca en noviembre,Comentario no relacionado a la vacuna,3,1
38.0,mira para tu hermanita el mejor regalo k le pueden dar para se enfermedades,Aprobación de la publicación,3,1
40.0,"Sigamos sembrando salud. Trabajando  en equipo y de manera transversal, entre Ministerio de Salud y Ministerio de Educación, todos los que somos Profesionales de la Salud médicos y no médicos. Con Es-Salud, tratemos de retomar aquel trabajo de educación sexual para jóvenes estudiantes de Secundaria, Llamado entonces ""Mi Collera"" , cada participante invitaba a otras amigas (os) vecinas(os) para asistir a dichas charlas. La clausura de esa promoción. Estuvo a cargo de todos los participantes, Director de Hospital ""Augusto Hernández"" de entonces. A todos se les obsequió un polo con logotipo de ES-SALUD, y tema de aprendizaje.",Comentario no relacionado a la vacuna,3,1
41.0,Hace tiempo escuche que en otros países  no lo aceptaron porque no era tan bueno como parece.,Rechazo a la vacuna,0,2
,niñas de 9 años????? No será para mujercitas adolescentes???,Dudas referente a la edad,2,2
,"Un argumento como ""no era tan bueno como parece"" 🤦‍♀️",En contra de los antivacunas,3,1
42.0,EL SURGIMIENTO DE PROGRAMAS DE ORIENTAL SEXUAL U OTRA INDOLE. QUE ESTAN HECHOS PARA JOVENES POR PROFESIONALES TECNICOS ASISTENTES SOCIALES DEL AREA MEDICA ES PLAUSIBLE CONTINUEN ADELANTE NUESTRA JUVENTUD NECESITA DE TODOS USTEDES FELICITACIONES,Aprobación de la publicación,3,1
43.0,Es lo mejor que está haciendo el estado proteger a nuestras niñas de un cancer uterino,Aprobación de la publicación,3,3
45.0,Que hablar sobre la sexualidad ya no sea un tabú 👌🙋,Aprobación de la publicación,3,1
47.0,Pa cuándo para las viejas xd,Comentario no relacionado a la vacuna,3,1
48.0,Por favor en Arequipa,Dudas sobre los puntos de vacunación,2,0
,acude al Centro de salud cercano a tu domicilio es gratuito,Respuestas a dudas relacionada a la vacuna,3,0
,sii primita el mes pasado iba a vacunar a ya tenía su cita y pucha estaba con la gripe fatal y tiene q estar sanita.,Comentario no relacionado a la vacuna,3,1
,prima que importante.. te etiquete porque yo no sabia de esta vacuna para niñas.. Que valioso son las redes con noticias así.. Que Luanita este mejor para su vacuna,Recomendan la vacunación,1,2
,Si primita yo si sabía ya tenia su cita pero esperar que este super bien  :),Comentario no relacionado a la vacuna,3,2
51.0,Los varones son inmunes?,vacuna para varones,3,1
52.0,9 años????? Que prepara el gobierno??? Libres de elegir abortar vendrá luego?La instauración de la pedofilia como nuevo derecho y exigencia de las aberrantes y nauseabundas políticas de género???Esto y su ideología pro gay en los colegios es posible??Un asco de gobierno,En contra de la OMS u otras organizaciones,0,0
,Hay niños que crecen sin un padre responsable o niñas que empiezan su actividad sexual (técnicamente) incluso desde antes... Entiéndase por abusos sexuales. Así que es mejor prevenir que más mujeres mueran de cancer de útero. Y a los niños tb pq empiezan a tener relaciones a corta edad incluso y más cuando los padres no son respsonsables o otros factores.,Recomendan la vacunación,1,2
,niños y niñas  de 9 años??? Que sigue?Regalaran píldoras del día sgte a niñas de 10?Waooo!!! Toda una instauración de la pedofilia como derecho de género?El estado imponiendo políticas de género y promoviendo la iniciación sexual a temprana edad?Y con una vacuna mortal que ya fracasó en otros países dejando muertes y lisiados?,Rechazo a la vacuna,0,0
53.0,K bueno  prevención para las niñas,Aprobación de la publicación,3,2
57.0,. Buena labor que está realizando el Ministerio de Salud;en coordinación con Educación .Dios quiera que se evite asi las enfermedades que en estos momentos aquejan a jóvenes y adultos.,Aprobación de la publicación,3,0
58.0,La Información es lo mas importante https://youtu.be/CRSviOLIGwQ  *VIDEO ELIMINADO*,Rechazo a la vacuna,0,0
59.0,Porq solo hasta los 13???,Dudas referente a la edad,2,3
61.0,En el extranjero es hasta 17 deberian ser para todas en general 🙌🏻,Recomendaciones al MINSA,3,3
,solo a mujeres le da esa enfermedad?,vacuna para varones,3,0
,tambien a hombres acavo de leerlo pero el ministerio y todo la rama de salud solo lo ofrece para mujeres,Respuestas a dudas relacionada a la vacuna,3,1
,Y la verdad debe informarse a publico en general y mas importante si tenemos hijas e hijos adolescentes muy importante crear la prevencion,Recomendaciones al MINSA,3,2
,"dan a hombres como mujeres es para prevenir el cancer de cuello uterino, pero en sí es para prevenir la transmisión sexual del virus del papiloma humano, este virus está implicado en múltiples cánceres que principalmente son por contacto sexual. Ejemplo:Cuello uterinoLengua PeneLenguaAno",Brindan más información sobre la vacuna,3,1
71.0,A los colegios de San Juan de Miraflores no han llegado aun,Dudas sobre los puntos de vacunación,2,3
72.0,PORQUE EN OTROS PAISES HAN MUERTO MILES DE JÓVENES A CAUSA DE ESTA VACUNA?,Rechazo a la vacuna,0,2
73.0,Muy interesante gracias por la informacion,Aprobación de la publicación,3,1
74.0,"Es decisión de los padres, no de las menores.",Decisión de los padres al vacunar,3,2
76.0,"Háganla obligatoria, nada de autorización ni michi. Y padres que no quieren que la niña se vacune, quince días a la sombra.",Recomendaciones al MINSA,3,3
,"Deberías averiguar un poco para que veas que en Europa esta 'vacuna' está prohibida por daños causados a varias menores, los riesgos de efectos secundarios que van desde una fiebre hasta parálisis del cuerpo es muy alta. Por eso está perfecto que sea a decisión.",Rechazo a la vacuna,0,1
,"Señor ud no puede decidir por los demás, está vacuna en mi familia trajo un daño que hasta ahora le cuesta a los padres de mi sobrina, creo que debería leer más sobre el tema antes de lanzar una apreciación tan radical y absurda, como la de meter preso a alguien por cuidar del bienestar de los seres que más amamos los padres:Nuestros Hijos!!",Caso personas de efectos adversos atribuidos a la vacuna ,3,2
,Que se lo pongan a las hijas del señor sin su autorización... Ya que lo pide... Pero a los míos NO! #ConMisHijosNoTeMetas,Rechazo a la vacuna,0,1
,a usted no le pido un centavo para mantener a mis hijos es más seguro que ni hijos mantiene para dar esa opinión.,Comentario no relacionado a la vacuna,3,2
,Vieron? 👆Estos antivacunas son una plaga 🤠,En contra de los antivacunas,3,1
,gracias por su aporte...,Agradecimiento a otras personas ,3,0
,"un poco, da vergüenza ajena",Rechazo a la vacuna,0,1
,"Bueno fuera que con su postura antivacunas se fregaran solos, pero no: nos friegan a todos. sería que los sancionen severamente: son un peligro para la salud pública.",En contra de los antivacunas,3,0
,", Entonces si ud es pro-vacunas, pues vaya,  ponga su poto y póngaselas ud!!Que tanto lío se hace, insultando a quienes no nos parece???Póngase a leer que da vergüenza, viejonaso y habla tonterías!!",Rechazo a la vacuna,0,1
,"Y a quién he insultado? Póngase a leer usted, al menos comentarios de Facebook.",Comentario no relacionado a la vacuna,3,3
,", qué daños le ocasionó a la niña",Dudas refente a efectos adversos graves,2,3
,ya se sabe que produce desde fiebres hasta parálisis cerebral y que los laboratorios experimentan en Latinoamérica con niñas menores de edad...En Europa no son coj.... y no dejan que se experimente con su población Pero acá la ONU y la OMS tienen su chacra de conejillos de Indias Algo más?,En contra de la OMS u otras organizaciones,0,1
,puede citar alguna fuente fidedigna donde indique eso? Tengo familiares en Europa y a ellas si se las han puesto.,Lucha contra la desinformación,1,1
,"hay 35 casos graves muy bien documentados ocurridos en España, aca no se puede postear pero googlealoY no es el único país de Europa",Rechazo a la vacuna,0,3
,revise su inbox ahí está el link de 385 casos en EEUU,Rechazo a la vacuna,0,3
,Se la dan de pro ciencia y ni pueden buscar en Google jajajaja,Comentario no relacionado a la vacuna,3,2
,"Bueno a mi sobrina, que desde muy pequeña sufría de alergias respiratorias, después de la primera dosis tuvo una especie de escamacion en la piel, q no podía ni siquiera bañarse con un jabón de tocador normal, ni el shampoo podía caerle en el cuerpo por que se le exacerbaba, tenía una comezón horrible y luego de una serie de exámenes, dijeron los dermatologos que era posiblemente causado por uno de los componentes de la vacuna, así q ni modo!!Mi hija es igual de alérgica y asmática, por eso que prefiero evitar!!",Caso personas de efectos adversos atribuidos a la vacuna ,3,0
,"“ Pero ya comienza a haber datos, al menos de efectos adversos. Según la FDA, la agencia que controla los medicamentos en Estados Unidos, desde que se aprobó la vacuna en 2006 se han administrado 16 millones de dosis y se han reportado 9.746 casos de efectos adversos, que incluyen lipotimias, mareos y desmayos. Un 6% de los casos (584 en total) fueron calificados como graves. También registró la muerte de 20 chicas después de ser vacunadas, aunque en un informe la FDA especifica que ""no existe un patrón común que sugiera a la vacuna como causa"". En España se han distribuido 1.146.000 dosis en 2007 y 2008. Hasta el momento se han notificado 103 casos de efectos adversos, 35 de ellos graves”",Rechazo a la vacuna,0,3
,Y las mayores que mueran o qué?,Dudas referente a la edad,2,0
,ya jimena esta vacunada y luana recibió ya su primera vacuna,Aprobación de la publicación,3,3
79.0,mira para que le vacunen a la milene,Recomendan la vacunación,1,2
84.0,Y de acá unos 10 años nacerán niñ@s?,Rechazo a la vacuna,0,0
,"Si, como todos los dias",Comentario no relacionado a la vacuna,3,0
87.0,"Felicitaciones al Ministerio de Salud, que no desmaye ésta gran  labor de protección a las niñas peruanas.",Aprobación de la publicación,3,3
91.0,De verdad me alegra que ahora exista esta vacuna para prevenir el cáncer de cuello uterino. Las muejeres que perdieron la batalla contra este mal deben estar muy felices allá en el cielo. Yo espero mis resultados que me los dan el 21 de noviembre ❤🙏💪.,Aprobación de la publicación,3,2
92.0,>:( siéntete culpable ahora me cuesta 600 soles,Comentario no relacionado a la vacuna,3,2
,Chamita AV gracias mi chama,Agradecimiento a otras personas ,3,3
94.0,Un favor los componentes de esa vacuna? Gracias.,Dudas sobre la composición de las vacunas,2,1
96.0,checa esta información para la peque,Recomendan la vacunación,1,3
,Gracias!! Justo en la edad. 😀,Agradecimiento a otras personas ,3,2
99.0,Mi Cielito Oriana La Loquilla Yacsayauri Feliciano miren q interesante hermanas,Aprobación de la publicación,3,1
,ya la vacune 😊,Aprobación de la publicación,3,1
104.0,"Muy bien! Felicitaciones al Ministerio de Salud ,por la gran campaña ,en bien de la salud de las mujeres  !!",Aprobación de la publicación,3,3
106.0,mira primo para Camila,Recomendan la vacunación,1,3
107.0,"Y esa vacuna cuanto dura en el cuerpo,me acuerdo k fujimuri en su tiempo mando a vacunar igual en los colegios yo no hice vacunar a mis hijas tuve desconfianza y luego salió a relucir muchas cosas sobre esa vacuna.esa vacuna será para prevenir un cáncer uterino o será una inyección anticonceptiva xq hay niñas k a esa edad empiezan la menstruación y aveces son violentadas y kedan embarazadas. Otras niñas x curiosidad empiezas vida sexual a los 12. Será para eso la verdad no confío mucho sea hormonal y ahí si pueda producirles cáncer yo no hago vacunar a mi nieta y en el colegio nadie le pone si yo no autorizo.",Dudas sobre la composición de las vacunas,2,3
,"y luego dicen que porqué sus hijos no hablan con ustedes 🤦🏽‍♀️ ya paren con esa mentalidad tan mediocre y cerrada de decir que las relaciones sexuales son dentro del matrimonio, en la actualidad hay muchas personas que ni casarse desean. Así que déjese de mamadas y hable claro con su hijo o hija.",Comentario no relacionado a la vacuna,3,3
